First,Second,Third
503.476,111.344,47.609
130.86,284.335,29.899
246.907,244.005,63.658
917.19,131.647,34.372
251.369,193.792,69.042
666.211,344.013,527.352
1277.055,202.955,108.171
425.194,362.239,59.153
1188.066,69.393,17.592
192.074,156.803,863.426
382.606,83.57,77.51
261.708,771.873,1094.448
116.958,81.544,36.822
206.089,116.229,372.48
245.132,60.532,94.993
152.902,65.45,77.245
582.277,121.716,13.732
302.057,175.759,138.841
218.944,172.793,35.445
910.853,160.831,52.196
1621.791,128.698,61.472
1135.397,232.129,37.584
1610.465,127.616,87.353
440.32,179.249,212.483
172.94,304.442,72.486
349.801,174.063,106.359
228.321,119.034,108.56
969.563,173.06,168.519
338.169,75.948,63.003
278.785,48.081,46.345
435.356,41.335,65.206
147.976,420.034,480.035
62.52,46.514,17.54
29.643,280.364,41.763
325.426,161.959,86.415
930.551,45.236,84.027
516.055,773.117,83.999
813.698,51.407,27.34
44.284,296.702,24.879
106.981,97.605,168.231
1052.838,126.18,22.274
27.02,273.242,135.001
127.233,818.995,25.759
82.043,284.078,374.103
1130.906,80.088,144.3
161.827,54.782,87.45
402.085,126.0,1115.191
258.288,154.5,104.311
813.831,64.758,138.652
1316.292,72.028,102.464
245.187,29.411,238.767
170.089,140.458,78.8
727.063,110.529,366.219
489.064,55.57,54.339
120.259,93.09,75.138
140.142,34.174,23.121
801.37,78.425,286.925
452.866,191.66,28.071
1638.03,193.677,13.737
209.533,8.624,103.11
394.223,26.959,30.948
397.038,44.695,394.393
148.366,36.014,248.774
216.469,112.798,111.275
738.796,122.683,132.678
427.49,250.055,59.464
422.812,83.054,177.609
568.15,530.037,19.587
248.964,25.047,123.631
186.973,25.151,202.125
246.206,341.666,9.189
421.168,10.317,37.954
703.852,366.522,149.126
258.372,46.74,49.779
212.594,105.584,47.756
145.057,218.678,141.197
126.663,139.476,197.507
129.072,88.472,335.581
1682.077,62.63,58.238
86.693,415.676,175.175
1006.267,91.296,35.816
690.605,469.52,142.037
206.785,54.571,149.447
129.508,241.807,513.438
98.969,104.715,142.462
496.527,214.679,582.165
305.036,303.085,193.795
500.858,53.777,145.398
68.484,21.319,77.757
31.474,31.488,660.033
316.362,132.173,100.532
273.84,119.451,11.079
382.55,413.194,77.211
454.383,79.919,364.375
190.953,334.892,311.844
219.831,67.117,25.84
1384.701,892.072,403.445
808.592,432.545,54.543
355.895,115.272,64.848
654.367,429.383,51.341
335.537,76.95,113.118
676.428,187.898,153.675
240.809,281.231,31.877
185.171,403.927,576.649
167.996,41.725,70.892
164.19,275.979,188.658
188.385,167.233,229.073
147.371,128.061,53.208
95.676,115.368,68.859
538.929,57.234,282.8
329.166,185.044,39.997
712.815,322.378,
269.594,131.293,
184.249,81.226,
438.085,142.295,
223.354,115.63,
810.118,50.865,
405.905,169.447,
327.525,102.504,
529.825,118.17,
575.452,155.801,
312.788,170.166,
344.011,203.748,
171.942,121.635,
623.033,215.006,
124.364,194.632,
490.592,166.487,
199.199,391.305,
450.313,434.099,
639.243,431.639,
563.524,115.068,
367.434,72.605,
250.491,158.133,
1103.446,54.665,
470.419,47.117,
390.49,709.272,
373.551,239.643,
213.422,149.989,
351.472,270.182,
574.43,49.884,
167.319,69.333,
220.42,146.838,
322.79,155.708,
159.53,114.562,
68.578,67.024,
167.217,41.547,
1071.792,555.639,
332.193,24.724,
1392.032,55.683,
913.735,127.84,
110.11,67.237,
452.195,203.708,
689.753,62.242,
684.901,81.135,
181.345,126.364,
376.04,636.236,
389.312,98.459,
739.513,410.695,
144.899,130.774,
553.122,76.278,
320.088,456.321,
910.468,44.108,
302.945,103.396,
396.366,243.914,
66.42,21.466,
19.732,51.054,
543.634,182.872,
408.536,121.151,
499.999,24.341,
252.927,136.493,
140.682,70.45,
1520.887,99.624,
810.573,845.353,
982.453,28.178,
99.659,522.246,
764.342,38.585,
595.607,103.348,
967.349,365.628,
776.795,30.103,
198.856,566.664,
630.95,78.037,
582.282,146.821,
1075.468,136.065,
1201.357,256.713,
88.205,193.555,
147.126,248.765,
286.789,192.541,
624.091,254.855,
1119.06,173.142,
133.115,40.493,
1113.146,517.589,
27.447,51.714,
326.075,83.833,
1157.021,79.632,
944.576,149.623,
621.46,711.929,
662.988,119.949,
137.465,41.903,
1431.651,100.859,
318.429,73.64,
503.283,175.761,
605.317,305.239,
706.541,233.679,
99.754,135.143,
,883.783,
,32.25,
,95.75,
,46.743,
,139.982,
,78.809,
